address,location,type,price,listing_image,beds,baths,half_baths,square_feet,brokerage,attribution
"15 West 100th Street, 3W, Manhattan, NY 10025",UPPER WEST SIDE,APARTMENT BUILDING,2700,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713286/mediarouting.vestahub.com/Media/139025291?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1890 Lexington Avenue, 9F, Manhattan, NY 10035",EAST HARLEM,APARTMENT BUILDING,2645,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713213/mediarouting.vestahub.com/Media/139022549?w=3840&q=75,1,1,Not listed,525,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"30-77 Vernon Boulevard, 624W, Queens, NY 11102",ASTORIA,APARTMENT BUILDING,3500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713209/mediarouting.vestahub.com/Media/139022508?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"250 West 105th Street, 4F, Manhattan, NY 10025",UPPER WEST SIDE,APARTMENT BUILDING,3595,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"336 East 30th Street, 2B, Manhattan, NY 10016",KIPS BAY,APARTMENT BUILDING,3085,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713205/mediarouting.vestahub.com/Media/139022501?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"201 East 75th Street, 5B, Manhattan, NY",UPPER EAST SIDE,APARTMENT BUILDING,2275,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713202/mediarouting.vestahub.com/Media/139022422?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"25 West 13th Street, 4KS, Manhattan, NY 10011",GREENWICH VILLAGE,CO-OP,3295,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/PropertyAPI/NewTaxi/18867/mediarouting.vestahub.com/Media/15386779?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"153-10 88th Avenue, 1712, Queens, NY 11432",JAMAICA,APARTMENT BUILDING,2875,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713131/mediarouting.vestahub.com/Media/139013553?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"242 East 10th Street, 20, Manhattan, NY 10003",EAST VILLAGE,APARTMENT BUILDING,3250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713111/mediarouting.vestahub.com/Media/139010707?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"140 Charles Street, 16E, Manhattan, NY 10014",WEST VILLAGE,CONDO,4300,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713093/mediarouting.vestahub.com/Media/139009294?w=3840&q=75,Not listed,1,Not listed,575,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"520 East 81st Street, 14F, Manhattan, NY 10028",UPPER EAST SIDE,CONDO,3600,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713006/mediarouting.vestahub.com/Media/139023904?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"500 3rd Street, 6, Brooklyn, NY 11215",PARK SLOPE,CO-OP,3500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712958/mediarouting.vestahub.com/Media/139022614?w=3840&q=75,1,1,Not listed,490,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"5 Minetta Street, 1AB, Manhattan, NY 10012",GREENWICH VILLAGE,APARTMENT BUILDING,3550,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712928/mediarouting.vestahub.com/Media/138993497?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"39 Jane Street, 4D, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,3395,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712848/mediarouting.vestahub.com/Media/138990016?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"269 West 12th Street, 1_3, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,7895,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712752/mediarouting.vestahub.com/Media/138978482?w=3840&q=75,3,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"561 Madison Street, 3, Brooklyn, NY 11221",BEDFORD - STUYVESANT,APARTMENT BUILDING,2750,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"160 West 66th Street, 41A, Manhattan, NY 10023",UPPER WEST SIDE,CONDO,9500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712160/mediarouting.vestahub.com/Media/138963288?w=3840&q=75,2,3,1,1562,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"2841 Broadway, 7LL, Manhattan, NY 10025",MORNINGSIDE HEIGHTS,APARTMENT BUILDING,4150,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711971/mediarouting.vestahub.com/Media/138914186?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"2841 Broadway, 9LL, Manhattan, NY 10025",MORNINGSIDE HEIGHTS,APARTMENT BUILDING,4200,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711970/mediarouting.vestahub.com/Media/138914180?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"2841 Broadway, 11L1, Manhattan, NY 10025",MORNINGSIDE HEIGHTS,APARTMENT BUILDING,4250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711969/mediarouting.vestahub.com/Media/138914174?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"131 West 33rd Street, PH17, New York, NY 10001",,CONDO,22750,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711539/mediarouting.vestahub.com/Media/138875517?w=3840&q=75,1,1,3,6500,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"247 North 7th Street, 1_309, Brooklyn, NY 11211",WILLIAMSBURG,APARTMENT BUILDING,4521,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7709975/mediarouting.vestahub.com/Media/138626102?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"Greenwich Street, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,7295,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2278106/mediarouting.vestahub.com/Media/139026999?w=3840&q=75,Not listed,2,Not listed,Not listed,Not listed,Not listed
"Greenwich Street, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,6195,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2278101/mediarouting.vestahub.com/Media/139026962?w=3840&q=75,Not listed,1,Not listed,Not listed,Not listed,Not listed
"Broadway, Manhattan, NY 10023",UPPER WEST SIDE,APARTMENT BUILDING,7495,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2278090/mediarouting.vestahub.com/Media/139025554?w=3840&q=75,1,1,1,Not listed,Not listed,Not listed
"23-81 31st Street, Astoria, NY 11105",ASTORIA,COMMERCIAL,90000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3504451/897e59487e1fe1064305588404fcf491?w=3840&q=75,Not listed,Not listed,Not listed,Not listed,Courtesy of Ny Space Finders Inc,Not listed
"West 89th Street, Manhattan, NY 10024",UPPER WEST SIDE,RENTAL,6440,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58809/31563451?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 31st Street, Manhattan, NY 10016",KIPS,RENTAL,7160,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58807/31616388?w=3840&q=75,2,2,1,950,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Tudor City Place, Manhattan, NY 10017",MURRAY HILL,CO-OP,2100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58779/31579383?w=3840&q=75,Not listed,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Tudor City Place, Manhattan, NY 10017",MURRAY HILL,CO-OP,5900,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58764/31414608?w=3840&q=75,2,2,Not listed,1000,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 15th Street, Manhattan, NY 10011",CHELSEA,RENTAL,7800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58714/31583036?w=3840&q=75,1,1,Not listed,638,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East Houston Street, Manhattan, NY 10002",EAST VILLAGE,RENTAL,6280,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58530/31585291?w=3840&q=75,1,1,Not listed,651,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Riverside Boulevard, Manhattan, NY 10069",LINCOLN SQ,RENTAL,4860,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/58028/31597135?w=3840&q=75,1,1,Not listed,594,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 48th Street, Manhattan, NY 10036",MIDTOWN,RENTAL,5390,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/36660/31694776?w=3840&q=75,1,1,Not listed,725,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 48th Street, Manhattan, NY 10036",MIDTOWN,RENTAL,5520,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2286/31220274?w=3840&q=75,1,1,Not listed,665,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 91st Street, Manhattan, NY 10128",YORKVILLE,RENTAL,4990,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/27186/24370953?w=3840&q=75,1,1,Not listed,570,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 44th Street, Manhattan, NY 10017",TURTLE BAY,RENTAL,9520,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/3153/31544933?w=3840&q=75,3,2,Not listed,1500,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Chambers Street, Manhattan, NY 10282",BATTERY PARK CITY,RENTAL,9310,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2942/31597089?w=3840&q=75,2,2,1,801,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 48th Street, Manhattan, NY 10036",MIDTOWN,RENTAL,7700,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2888/31587477?w=3840&q=75,2,2,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Downing Street, Manhattan, NY 10014",WEST VILLAGE,RENTAL,6230,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2592/26349232?w=3840&q=75,1,1,Not listed,850,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"26 East 235th Street, Bronx, NY 10470",WOODLAWN,SINGLE FAMILY TOWNHOUSE,3400,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,3,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"363 West 51st Street, 3W, Manhattan, NY 10019",CLINTON,APARTMENT BUILDING,4800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713161/mediarouting.vestahub.com/Media/139013593?w=3840&q=75,4,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"38 East 21st Street, 1, Manhattan, NY 10010",FLATIRON,CO-OP,8500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713152/mediarouting.vestahub.com/Media/139013581?w=3840&q=75,2,2,2,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"505 West 122Nd Street, 53, Manhattan, NY 10027",MORNINGSIDE HEIGHTS,APARTMENT BUILDING,2800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713103/mediarouting.vestahub.com/Media/139009414?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"241 East 75th Street, GND, Manhattan, NY 10021",UPPER EAST SIDE,CONDOP,Price Upon Request,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713100/mediarouting.vestahub.com/Media/139009384?w=3840&q=75,Not listed,1,1,1544,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"372 Central Park West, 7G, Manhattan, NY 10025",UPPER WEST SIDE,CONDO,3500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713094/mediarouting.vestahub.com/Media/139009299?w=3840&q=75,Not listed,1,Not listed,579,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1272 Amsterdam Avenue, 2D, Manhattan, NY 10027",MORNINGSIDE HEIGHTS,APARTMENT BUILDING,2900,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713092/mediarouting.vestahub.com/Media/139009290?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"160 Central Park South, 601, Manhattan, NY 10019",CENTRAL PARK SOUTH,CONDO,35000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713061/mediarouting.vestahub.com/Media/139007506?w=3840&q=75,3,4,1,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"289 Devoe Street, 4F, Brooklyn, NY 11211",WILLIAMSBURG,CONDO,5250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713058/mediarouting.vestahub.com/Media/139007462?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1756 Dean Street, 2, Brooklyn, NY 11233",CROWN HEIGHTS,CONDO,4500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7713059/mediarouting.vestahub.com/Media/139007455?w=3840&q=75,3,2,Not listed,1540,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
